corner	target_write_ps	target_read_metric	target_read_ns	liberty_macro_read_max_ns	target_read_vs_liberty_pct	target_leakage_uW	liberty_macro_leakage_uW	target_leakage_vs_liberty_pct	target_write_energy_fJ	target_read_energy_fJ	liberty_min_period_ns	liberty_fmax_MHz	liberty_setup_ns	liberty_hold_ns
TT	77.94069999999999	SEN50_to_DOUT50_transition	0.04088050000000001	0.551	7.419328493647914	3.8723319000000007	33.870999999999995	11.432588054678048	95.04531	31.37364	2.037	490.9180166912126	0.103	-0.056
SS	117.096	SEN50_to_DOUT50_transition	0.0718089	0.606	11.849653465346535	7.085295	33.870999999999995	20.918470077647548	177.78663	42.39837	2.241	446.2293618920125	0.103	-0.056
FF	60.6197	WL50_to_DOUT50	0.39222199999999996	0.496	79.07701612903224	8.215735500000001	33.870999999999995	24.255957899087722	101.29860000000001	42.07302000000001	1.834	545.2562704471101	0.103	-0.056
